,task,descrip,vh_actions
10,Browse internet,"Sit in the desk, switch on the computer and click in the browser application",[WALK] <home_office> (1.319) [WALK] <chair> (1.356) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
11,Browse internet,"go to the room, sit in the chair, turn on the computer, look for the news",[WALK] <bedroom> (1.67) [WALK] <chair> (1.103) [FIND] <chair> (1.103) [SIT] <chair> (1.103) [FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) [FIND] <newspaper> (1.1000) 
12,Browse internet,Walk to the Home Office.  Find the computer.  Turn on the computer.,[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) 
13,Browse internet,For browsing internet walk to home office. Find Computer. Walk to Computer. Find Chair. Sit in a chair and switch on computer. Connect with internet and browse the net.,[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [WALK] <computer> (1.417) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [SWITCHON] <computer> (1.417) 
14,Browse internet,I go to my desk. I turn on the computer. I open a web page and look at it.,[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
15,Browse internet,"I will walk to the computer at the desk in my home office, sit in the chair, turn on the computer, open a web browser, type in the address, and view the computer.",[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <mouse> (1.413) [GRAB] <mouse> (1.413) [TOUCH] <mouse> (1.413) [FIND] <keyboard> (1.415) [GRAB] <keyboard> (1.415) [TYPE] <keyboard> (1.415) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
16,Browse internet,Walk to home office. Find computer. Sit in chair in front of computer desk. Turn on computer. Open internet browser. Browse the internet,[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [WALK] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [SWITCHON] <computer> (1.417) 
17,Browse internet,"""I walk to the entrance hall""  ""I walk to the home office""  ""I look for desk"" ""I find the desk"" ""I look for chair"" ""Ifind the chair"" ""I look for computer"" ""I find the computer"" I sit in Chair""  ""I switch on to the computer""  ""I browse the internet""",[WALK] <home_office> (1.319) [WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <desk> (1.357) [TURNTO] <desk> (1.357) [LOOKAT] <desk> (1.357) [FIND] <desk> (1.357) [FIND] <chair> (1.356) [TURNTO] <chair> (1.356) [LOOKAT] <chair> (1.356) [FIND] <chair> (1.356) [FIND] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) [FIND] <computer> (1.417) [SIT] <chair> (1.356) [SWITCHON] <computer> (1.417) [WATCH] <computer> (1.417) 
18,Browse internet,Find the computer. Switch on. Point to browser.  Open browser.,[FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) 
19,Browse internet,Find Computer and in the chair in from of him. Switch on the computer. Look at it and browse typing addresses with the keyboard.,[FIND] <computer> (1.170) [FIND] <chair> (1.103) [SIT] <chair> (1.103) [SWITCHON] <computer> (1.170) [TURNTO] <chair> (1.103) [LOOKAT] <chair> (1.103) [FIND] <keyboard> (1.168) [TYPE] <keyboard> (1.168) 
20,Browse internet,"I want to search the web so I go into my office, see my computer on the desk so I go sit in front of it, turn on the computer and use the keyboard to browse the internet.",[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <desk> (1.357) [TURNTO] <desk> (1.357) [LOOKAT] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) 
21,Browse internet,"Go find a computer, turn it on, click google, and browse the internet.",[WALK] <home_office> (1.319) [WALK] <computer> (1.417) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
22,Browse internet,I go to my home office. I sit on the chair right in front of my computer. I turn on the computer. Use the mouse to open the web browser. Use the keyboard to type the URL that I want to visit.,[WALK] <home_office> (1.319) [WALK] <chair> (1.356) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) [FIND] <mouse> (1.413) [TOUCH] <mouse> (1.413) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
23,Browse internet,I turn on computer. I use keyboard to type. I open browser. I search.,[WALK] <bedroom> (1.67) [WALK] <computer> (1.170) [FIND] <keyboard> (1.168) [TYPE] <keyboard> (1.168) [TURNTO] <computer> (1.170) [LOOKAT] <computer> (1.170) 
24,Browse internet,I pick up my phone. I touch it to navigate to the web browser. I can swipe and tap the screen to visit different websites. Then I read or watch the content within those websites.,[WALK] <home_office> (1.319) [WALK] <phone> (1.1000) [FIND] <phone> (1.1000) [GRAB] <phone> (1.1000) [TOUCH] <phone> (1.1000) [TURNTO] <phone> (1.1000) [LOOKAT] <phone> (1.1000) 
25,Browse internet,first ill go to the entrance hall ill enter into my home office after that i will switch on mylaptop and then with the use of mouse and keyboard i will browse,[WALK] <home_office> (1.319) [WALK] <home_office> (1.319) [WALK] <keyboard> (1.415) [FIND] <keyboard> (1.415) [GRAB] <keyboard> (1.415) [FIND] <laptop> (1.1000) [SWITCHON] <laptop> (1.1000) [FIND] <mouse> (1.413) [TOUCH] <mouse> (1.413) [TYPE] <keyboard> (1.415) [TURNTO] <laptop> (1.1000) [WATCH] <laptop> (1.1000) 
26,Browse internet,"I sit on the chair and open my notebook in my bedroom, then i start my computer and open the browser tool in Windows (Chrome). I open a search engine and then type keyword i am looking for. Click o one page and close it...then another one and close it...reading content and making some favorites on bookmarks.",[FIND] <chair> (1.103) [SIT] <chair> (1.103) [FIND] <check> (1.1000) [FIND] <keyboard> (1.168) [TYPE] <keyboard> (1.168) [FIND] <bookmark> (1.1001) [GRAB] <bookmark> (1.1001) [TYPE] <keyboard> (1.168) [GRAB] <bookmark> (1.1001) 
27,Browse internet,Go to home office and browse the internet.,[RUN] <home_office> (1.319) [WALK] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <mouse> (1.413) [GRAB] <mouse> (1.413) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) [FIND] <keyboard> (1.415) [GRAB] <keyboard> (1.415) [TYPE] <keyboard> (1.415) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) [TOUCH] <mouse> (1.413) [TYPE] <keyboard> (1.415) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) [TOUCH] <mouse> (1.413) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
28,Browse internet,"I go to the office and sit in a chair, I turn on the computer and grab the mouse. I type on the keyboard and starting working on the computer.",[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <desk> (1.357) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <mouse> (1.413) [GRAB] <mouse> (1.413) [FIND] <keyboard> (1.415) [TYPE] <keyboard> (1.415) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
29,Browse internet,Browsing the internet for information.,[WALK] <home_office> (1.319) [WALK] <desk> (1.357) [FIND] <computer> (1.417) [SWITCHON] <computer> (1.417) [FIND] <chair> (1.356) [SIT] <chair> (1.356) [FIND] <mouse> (1.413) [TOUCH] <mouse> (1.413) [TURNTO] <computer> (1.417) [LOOKAT] <computer> (1.417) 
30,Browse internet,Sit at computer and surf the web,[FIND] <chair> (1.103) [SIT] <chair> (1.103) [FIND] <mouse> (1.166) [GRAB] <mouse> (1.166) [FIND] <computer> (1.170) [SWITCHON] <computer> (1.170) [TURNTO] <computer> (1.170) [LOOKAT] <computer> (1.170) 
31,Browse internet,"I use the computer within my home office to look through the internet. To do this, I use my mouse and keyboard as well as sit in a comfortable chair.",[FIND] <chair> (1.194) [SIT] <chair> (1.194) [FIND] <computer> (1.209) [SWITCHON] <computer> (1.209) [TURNTO] <computer> (1.209) [LOOKAT] <computer> (1.209) [FIND] <keyboard> (1.211) [TYPE] <keyboard> (1.211) [TURNTO] <computer> (1.209) [LOOKAT] <computer> (1.209) [TYPE] <keyboard> (1.211) [TURNTO] <computer> (1.209) [LOOKAT] <computer> (1.209) 
32,Browse internet,"I go in my office, sit at my desk turn on the computer, then type on my keyboard and open my web browser.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) 
33,Browse internet,Browsing the world wide web for entertainment,[WALK] <home_office> (1.241) [WALK] <chair> (1.271) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <mouse> (1.280) [TOUCH] <mouse> (1.280) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) 
34,Browse internet,I sit at my computer desk and open the browser.,[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) 
35,Browse internet,"go to the office, turn computer on, open an browser or any application to open any website.",[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <computer> (1.276) 
36,Browse internet,"stand up, walk to living room, find computer, walk to computer, switch on computer, find mouse, grab mouse, look at button to scroll",[STANDUP] [WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [WALK] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [FIND] <button> (1.1000) [TURNTO] <button> (1.1000) [LOOKAT] <button> (1.1000) 
37,Browse internet,"Turn on computer, pull up browser, browse the internet",[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
38,Browse internet,The task is browse and surf on the internet regarding a particular topic,[WALK] <bedroom> (1.162) [WALK] <laptop> (1.1000) [FIND] <laptop> (1.1000) [SWITCHON] <laptop> (1.1000) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [WATCH] <laptop> (1.1000) 
39,Browse internet,"Walk to home office, walk to desk, sit in chair, turn on laptop, grab mouse, open a web page to look at it, move mouse, keep looking at laptop screen.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <laptop> (1.1000) [SWITCHON] <laptop> (1.1000) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [TOUCH] <mouse> (1.280) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) 
40,Browse internet,I go to the office and go to the computer. I turn the computer on and use the internet.,[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) 
41,Browse internet,For browsing internet walk to home office. Find Computer. Walk to Computer. Find Chair. Sit in a chair and switch on computer. Connect with internet and browse the net.,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [WALK] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [SWITCHON] <computer> (1.276) 
42,Browse internet,Walk into the home office. Walk up to the chair. Sit down in the chair. Type with the keyboard.,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) 
43,Browse internet,"I will walk to the computer at the desk in my home office, sit in the chair, turn on the computer, open a web browser, type in the address, and view the computer.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [TOUCH] <mouse> (1.280) [FIND] <keyboard> (1.278) [GRAB] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
44,Browse internet,Walk to home office. Find computer. Sit in chair in front of computer desk. Turn on computer. Open internet browser. Browse the internet,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [SWITCHON] <computer> (1.276) 
45,Browse internet,"""I walk to the entrance hall""  ""I walk to the home office""  ""I look for desk"" ""I find the desk"" ""I look for chair"" ""Ifind the chair"" ""I look for computer"" ""I find the computer"" I sit in Chair""  ""I switch on to the computer""  ""I browse the internet""",[WALK] <home_office> (1.241) [WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <desk> (1.272) [TURNTO] <desk> (1.272) [LOOKAT] <desk> (1.272) [FIND] <desk> (1.272) [FIND] <chair> (1.271) [TURNTO] <chair> (1.271) [LOOKAT] <chair> (1.271) [FIND] <chair> (1.271) [FIND] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [FIND] <computer> (1.276) [SIT] <chair> (1.271) [SWITCHON] <computer> (1.276) [WATCH] <computer> (1.276) 
46,Browse internet,Find the computer. Switch on. Point to browser.  Open browser.,[FIND] <computer> (1.209) [SWITCHON] <computer> (1.209) 
47,Browse internet,"I walk to my office. I take a seat in front of my desk. I move my mouse around and turn on my computer. Once my computer is on, I type in my password. Once I'm on my desktop, I locate Google Chrome browser. I double-tap on that icon to enter the browser. I type in a web address to navigate to that location. I navigate to another web address when I am bored of the one I'm currently at.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [FIND] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [GRAB] <mouse> (1.280) [TYPE] <keyboard> (1.278) 
48,Browse internet,"Go to home office, turn on the computer, open the internet and browse around the internet.",[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
49,Browse internet,"Go find a computer, turn it on, click google, and browse the internet.",[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
50,Browse internet,Walk to the home office. Proceed to sit in the chair and turn on the computer. Browse the Web.,[WALK] <home_office> (1.241) [WALK] <chair> (1.271) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
51,Browse internet,Go to office. Turn on computer. Pull out chair. Sit in chair. Use keyboard and mouse.,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <chair> (1.271) [PULL] <chair> (1.271) [SIT] <chair> (1.271) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) 
52,Browse internet,I pick up my phone. I touch it to navigate to the web browser. I can swipe and tap the screen to visit different websites. Then I read or watch the content within those websites.,[WALK] <home_office> (1.241) [WALK] <phone> (1.1000) [FIND] <phone> (1.1000) [GRAB] <phone> (1.1000) [TOUCH] <phone> (1.1000) [TURNTO] <phone> (1.1000) [LOOKAT] <phone> (1.1000) 
53,Browse internet,turn on the computer and browse the internet,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) 
54,Browse internet,"i'm walkin to the home office, i'm walking to the desk, i'm sitting on the chair, i'm turning on the computer and i'm browsing the internet.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
55,Browse internet,I want to surf the internet and look around at funny pictures.,[WALK] <home_office> (1.241) [WALK] <light> (1.283) [FIND] <light> (1.283) [SWITCHON] <light> (1.283) [FIND] <keyboard> (1.278) [GRAB] <keyboard> (1.278) [FIND] <desk> (1.272) [OPEN] <desk> (1.272) [PUTBACK] <keyboard> (1.278) <desk> (1.272) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [FIND] <mousepad> (1.279) [PUTBACK] <mouse> (1.280) <mousepad> (1.279) [PLUGIN] <keyboard> (1.278) [PLUGIN] <mouse> (1.280) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [GRAB] <mouse> (1.280) [TOUCH] <mouse> (1.280) [TYPE] <keyboard> (1.278) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
56,Browse internet,walk to living room. look at computer. switch on computer. sit in chair. watch computer. switch off computer.,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [WATCH] <computer> (1.276) [SWITCHOFF] <computer> (1.276) 
57,Browse internet,Walk to home office. Walk to computer. Switch on Computer.,[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [SWITCHON] <computer> (1.276) 
58,Browse internet,"Sit down at desk in home office, turn on computer, open browser on computer, browse internet",[WALK] <home_office> (1.241) [WALK] <chair> (1.271) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) 
59,Browse internet,Go to home office and browse the internet.,[RUN] <home_office> (1.241) [WALK] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [FIND] <keyboard> (1.278) [GRAB] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [TOUCH] <mouse> (1.280) [TYPE] <keyboard> (1.278) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [TOUCH] <mouse> (1.280) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
60,Browse internet,I go to the home office. I put the laptop on the desk. I sit on the chair. I switch on my laptop and I type on the keyboard and browse the internet.,[WALK] <home_office> (1.241) [WALK] <laptop> (1.1000) [FIND] <laptop> (1.1000) [GRAB] <laptop> (1.1000) [FIND] <desk> (1.272) [OPEN] <desk> (1.272) [PUTBACK] <laptop> (1.1000) <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [SWITCHON] <laptop> (1.1000) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) 
61,Browse internet,"I go to the office and sit in a chair, I turn on the computer and grab the mouse. I type on the keyboard and starting working on the computer.",[WALK] <home_office> (1.241) [WALK] <desk> (1.272) [FIND] <desk> (1.272) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <mouse> (1.280) [GRAB] <mouse> (1.280) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) 
62,Browse internet,"walk to home office, look at the computer, switch on the computer, sit in the chair, type using keyboard for browsing the details in internet",[WALK] <home_office> (1.241) [WALK] <computer> (1.276) [FIND] <computer> (1.276) [TURNTO] <computer> (1.276) [LOOKAT] <computer> (1.276) [SWITCHON] <computer> (1.276) [FIND] <chair> (1.271) [SIT] <chair> (1.271) [FIND] <keyboard> (1.278) [TYPE] <keyboard> (1.278) 
63,Browse internet,"open browser, type what you want search, click on link you want.",[FIND] <computer> (1.1000) [TURNTO] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <mouse> (1.1001) [TURNTO] <mouse> (1.1001) [POINTAT] <mouse> (1.1001) [FIND] <keyboard> (1.1002) [TYPE] <keyboard> (1.1002) [TURNTO] <mouse> (1.1001) [POINTAT] <mouse> (1.1001) 
64,Browse internet,Browsing the world wide web for entertainment,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [FIND] <mouse> (1.1002) [TOUCH] <mouse> (1.1002) [FIND] <keyboard> (1.1003) [TYPE] <keyboard> (1.1003) 
65,Browse internet,I sit at my computer desk and open the browser.,[WALK] <home_office> (1.161) [WALK] <desk> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <computer> (1.1002) [SWITCHON] <computer> (1.1002) 
66,Browse internet,Navigate to different websites in order to find relevant information,[STANDUP] [WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) 
67,Browse internet,first i will walk into my home office and i needed to know the today's gold prices so wih the help of keyboard and mouse i will browse and find it,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <keyboard> (1.1001) [GRAB] <keyboard> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [FIND] <computer> (1.1003) [SWITCHON] <computer> (1.1003) [TYPE] <keyboard> (1.1001) 
68,Browse internet,"switch on the computer,  grab a chair and sit in front of the computer. type with keyboard and browse the internet.",[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [FIND] <computer> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [SWITCHON] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [FIND] <keyboard> (1.1002) [TYPE] <keyboard> (1.1002) 
69,Browse internet,"Sit in the desk, switch on the computer and click in the browser application",[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [FIND] <computer> (1.1001) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) 
70,Browse internet,"go to the room, sit in the chair, turn on the computer, look for the news",[WALK] <bedroom> (1.220) [WALK] <chair> (1.263) [FIND] <chair> (1.263) [SIT] <chair> (1.263) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <newspaper> (1.1001) 
